company,model,year,vehicle_age,mileage,service_issues
Honda,Amaze,2021,3,36530,"Air Filter Replacement, Tire Rotation, AC Gas Refill, Battery Replacement"
Toyota,Camry,2010,14,238987,"Transmission Fluid Change, Engine Oil Change, AC Gas Refill, Coolant Flush, Battery Replacement, Air Filter Replacement, Tire Rotation"
Maruti,Alto,2019,5,57376,"Suspension Check, Spark Plug Replacement, Air Filter Replacement, AC Gas Refill"
Honda,Accord,2013,11,107421,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Fortuner,2020,4,49168,"Engine Oil Change, Suspension Check, Battery Replacement, Air Filter Replacement, Tire Rotation"
Hyundai,Venue,2020,4,59408,"Spark Plug Replacement, Wheel Alignment, Suspension Check, Coolant Flush, Battery Replacement, Air Filter Replacement"
Honda,Accord,2010,14,134648,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Suspension Check, Timing Belt Replacement, Battery Replacement"
Maruti,Swift,2014,10,148821,"Transmission Fluid Change, Engine Oil Change, Wheel Alignment, Suspension Check, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Toyota,Innova,2019,5,69555,"Spark Plug Replacement, AC Gas Refill, Coolant Flush, Timing Belt Replacement, Tire Rotation"
Tata,Nexon,2020,4,67155,"Engine Oil Change, Battery Replacement"
Toyota,Urban Cruiser,2011,13,155474,"Transmission Fluid Change, Spark Plug Replacement, Engine Oil Change, Coolant Flush, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement"
Toyota,Camry,2017,7,86616,"Transmission Fluid Change, Engine Oil Change, Clutch Replacement, Battery Replacement, Brake Pad Replacement"
Tata,Altroz,2017,7,73984,"Engine Oil Change, Wheel Alignment, Exhaust System Repair, Suspension Check, AC Gas Refill, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement"
Hyundai,Venue,2017,7,82084,"Engine Oil Change, Spark Plug Replacement, Suspension Check, AC Gas Refill, Clutch Replacement, Battery Replacement"
Honda,WR-V,2021,3,46647,"Engine Oil Change, Wheel Alignment, Suspension Check, Wiper Blade Replacement, Air Filter Replacement"
Tata,Tiago,2019,5,44418,"Engine Oil Change, Air Filter Replacement, Timing Belt Replacement, Battery Replacement"
Maruti,Baleno,2014,10,141984,"Transmission Fluid Change, Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Tata,Safari,2007,17,246058,"Engine Oil Change, Exhaust System Repair, AC Gas Refill"
Honda,City,2014,10,95663,"Transmission Fluid Change, Suspension Check, Wiper Blade Replacement, Clutch Replacement, Battery Replacement, Air Filter Replacement, Tire Rotation, Brake Pad Replacement"
Maruti,Baleno,2020,4,46811,"Engine Oil Change, Air Filter Replacement, Tire Rotation"
Toyota,Camry,2012,12,177580,"Transmission Fluid Change, Engine Oil Change, Clutch Replacement, Timing Belt Replacement, Air Filter Replacement, Brake Pad Replacement"
Tata,Nexon,2022,2,23555,Engine Oil Change
Tata,Harrier,2012,12,118519,"Transmission Fluid Change, Engine Oil Change, Coolant Flush, Battery Replacement, Air Filter Replacement, Brake Pad Replacement"
Hyundai,Tucson,2023,1,17210,"AC Gas Refill, Tire Rotation"
Maruti,Swift,2023,1,5460,Engine Oil Change
